,max_depth,max_samples,n_estimators,loss,trial_number
0,3,0.648569854008818,150,-0.981751512294031,0
1,19,0.603052131072937,150,-0.9906738369302158,1
2,7,0.8831229267410892,150,-0.9913829926809415,2
3,19,0.4469832125776877,160,-0.9908332902162862,3
4,14,0.27781882156888404,130,-0.9911883697805535,4
5,3,0.5777552142342087,130,-0.9819377562062768,5
6,19,0.8929792431143188,140,-0.9901916455834827,6
7,20,0.6454622075352245,160,-0.9905311991624616,7
8,15,0.883340403598422,190,-0.9903954953397713,8
9,5,0.441440891600684,140,-0.990522859158608,9
10,17,0.5149483766566731,150,-0.9907957770727152,10
11,10,0.11961310231904419,170,-0.9914813947400969,11
12,19,0.11108170757861827,220,-0.9914979817118929,12
13,15,0.23246521445872084,190,-0.991279356002631,13
14,8,0.3889734449915836,150,-0.991457253520016,14
15,14,0.7575371296220914,190,-0.9906065842889101,15
16,18,0.2093089329357934,140,-0.9912757404067325,16
17,17,0.6499503324786995,120,-0.990597019221775,17
18,3,0.8997129507659376,160,-0.9811573839694843,18
19,14,0.5844762281127655,160,-0.9907759597802308,19
20,10,0.11029955419394082,170,-0.9914940781395984,20
21,10,0.1003845683426459,220,-0.9915202475198799,21
22,16,0.3300092199488618,220,-0.9911398402917041,22
23,11,0.16278853420105968,220,-0.9914433356710088,23
24,12,0.17725299814200496,220,-0.9914259317698009,24
25,6,0.2952451273791309,200,-0.991370868628247,25
26,10,0.10772250968271549,180,-0.9915117811396612,26
27,10,0.2544042805692872,180,-0.9913856882441607,27
28,9,0.15624750488612418,180,-0.9915125267523399,28
29,9,0.3583126822136059,210,-0.9914080857195191,29
30,9,0.18131082914273583,180,-0.9915015932744343,30
31,13,0.7840051686761033,210,-0.9906861059524179,31
32,4,0.4052635228968634,120,-0.9886851454503304,32
33,9,0.29386762214896484,180,-0.9914457856280965,33
34,7,0.5140148757956793,180,-0.9914621189567747,34
