,max_depth,max_samples,n_estimators,loss,trial_number
0,6,0.648569854008818,150,-0.9912487708971663,0
1,6,0.603052131072937,150,-0.9912504186496269,1
2,10,0.8831229267410892,150,-0.991152279679487,2
3,6,0.4469832125776877,160,-0.9913439605419715,3
4,22,0.27781882156888404,130,-0.991269632015155,4
5,14,0.5777552142342087,130,-0.9908456237356638,5
6,6,0.8929792431143188,140,-0.991171517666043,6
7,7,0.6454622075352245,160,-0.9915008241816351,7
8,18,0.883340403598422,190,-0.9903026416329436,8
9,8,0.441440891600684,140,-0.991523713351605,9
10,10,0.5149483766566731,150,-0.9913086096152764,10
11,22,0.11961310231904419,170,-0.9915434171887875,11
12,6,0.11108170757861827,220,-0.99151896324047,12
13,24,0.23246521445872084,190,-0.9913435554002408,13
14,11,0.3889734449915836,150,-0.9912923302260338,14
15,22,0.7575371296220914,190,-0.990493312226897,15
16,9,0.2093089329357934,140,-0.9915582922123342,16
17,28,0.6499503324786995,120,-0.9905644965170503,17
18,8,0.8997129507659376,160,-0.9914117288818164,18
19,22,0.5844762281127655,160,-0.9907004170530382,19
20,9,0.12583648926857596,170,-0.9916065556644923,20
21,9,0.20131351878420067,200,-0.9915640815630873,21
22,9,0.299770285094734,200,-0.9915221689837606,22
23,9,0.18824045512698973,200,-0.991583950510869,23
24,16,0.13567425036786004,180,-0.9915215084946868,24
25,20,0.33290056930603623,170,-0.991190463692975,25
26,26,0.17217968526821822,210,-0.9914729139414717,26
27,12,0.10065331482163856,200,-0.9915877616273343,27
28,12,0.2640783109707093,170,-0.9913636321128286,28
29,12,0.345777921607481,180,-0.9912893863665425,29
30,12,0.7675484933180505,120,-0.9908652194524583,30
31,20,0.1361763038953656,200,-0.9915259204285545,31
32,12,0.39688239832122774,210,-0.991240815501418,32
33,14,0.10284405631603794,220,-0.9915871031786224,33
34,7,0.5152547405610512,170,-0.991536328380627,34
