,max_depth,max_samples,n_estimators,loss,trial_number
0,3,0.648569854008818,150,-0.9817972506217145,0
1,3,0.603052131072937,150,-0.9816421234906711,1
2,7,0.8831229267410892,150,-0.9892805811263436,2
3,3,0.4469832125776877,160,-0.9821679954454666,3
4,8,0.27781882156888404,130,-0.9892511748296634,4
5,10,0.5777552142342087,130,-0.9887273852761492,5
6,3,0.8929792431143188,140,-0.9813548849581066,6
7,4,0.6454622075352245,160,-0.9884261580474006,7
8,12,0.883340403598422,190,-0.9878630347405132,8
9,5,0.441440891600684,140,-0.9894152554036187,9
10,7,0.5149483766566731,150,-0.9893375104174034,10
11,10,0.11961310231904419,170,-0.9891449041841124,11
12,3,0.11108170757861827,220,-0.9846075281443899,12
13,11,0.23246521445872084,190,-0.9888447666332488,13
14,8,0.3889734449915836,150,-0.989231553163646,14
15,11,0.7575371296220914,190,-0.9883273788725723,15
16,6,0.2093089329357934,140,-0.9894554518328768,16
17,3,0.6499503324786995,120,-0.9814571334943915,17
18,5,0.8997129507659376,160,-0.9893311476265361,18
19,12,0.5844762281127655,160,-0.9881458093546976,19
20,6,0.3318740258674853,140,-0.9894513544960131,20
21,6,0.2901934293484147,200,-0.9894538242450911,21
22,6,0.19677243145004952,200,-0.989463844329072,22
23,6,0.19324797582717784,200,-0.9894669479262825,23
24,9,0.16809758011131673,200,-0.9891936846311072,24
25,6,0.16496659379069967,210,-0.9894752426313471,25
26,6,0.10903618650405461,210,-0.989480510083864,26
27,6,0.11375552350994117,210,-0.9894851893762613,27
28,9,0.30925347281482085,210,-0.9890792268897387,28
29,4,0.11119754340680717,180,-0.9892297588431352,29
30,6,0.35760137267163783,210,-0.9894429330267522,30
31,6,0.8191116552024831,210,-0.9893972881430559,31
32,7,0.2590086655623205,210,-0.9893920193103563,32
33,8,0.43382941983459383,210,-0.9892180611165439,33
34,10,0.5157472845774751,120,-0.9887204052469791,34
