,batch_size,lr,loss,lr_actual,batch_size_actual,trial_number
0,3,4,0.37176397889852525,0.001,50000,0
1,3,3,0.02287462688982487,0.005,50000,1
2,3,5,0.8156103610992431,0.0005,50000,2
3,3,4,0.32691566944122313,0.001,50000,3
4,1,1,0.016213529743254185,0.05,5000,4
5,2,1,0.015440777316689492,0.05,10000,5
6,2,5,0.023279167339205743,0.0005,10000,6
7,4,4,0.8405017614364624,0.001,100000,7
8,2,0,0.23533616978675126,0.1,10000,8
9,3,2,0.019464008510112762,0.01,50000,9
10,3,3,0.025212080031633378,0.005,50000,10
11,3,5,0.8400843024253846,0.0005,50000,11
12,2,4,0.01658533066511154,0.001,10000,12
13,2,4,0.017478153482079505,0.001,10000,13
14,0,3,0.014560501091182232,0.005,1000,14
15,4,5,0.970635712146759,0.0005,100000,15
16,2,2,0.014608579687774181,0.01,10000,16
17,0,4,0.014721707627177238,0.001,1000,17
18,3,4,0.4532315135002136,0.001,50000,18
19,4,5,0.9277812480926514,0.0005,100000,19
20,0,2,0.015274939872324467,0.01,1000,20
21,0,6,0.015517554245889187,0.0001,1000,21
22,1,2,0.014984055794775486,0.01,5000,22
23,0,3,0.014873512089252472,0.005,1000,23
24,0,3,0.014726393297314644,0.005,1000,24
25,0,2,0.014775487408041955,0.01,1000,25
26,2,6,0.8654085397720337,0.0001,10000,26
27,1,0,0.01988893710076809,0.1,5000,27
28,2,3,0.014894447848200798,0.005,10000,28
29,0,2,0.014645695313811302,0.01,1000,29
30,2,3,0.014853677339851856,0.005,10000,30
31,4,0,0.04219357706606388,0.1,100000,31
32,1,2,0.01465754322707653,0.01,5000,32
33,0,1,0.015417527221143246,0.05,1000,33
34,2,6,0.8665235638618469,0.0001,10000,34
