,batch_size,lr,loss,lr_actual,batch_size_actual,trial_number
0,3,4,1.0057297348976135,1e-05,5000,0
1,5,3,0.9741760134696961,0.0005,10000,1
2,5,3,0.9706362724304199,0.0005,10000,2
3,5,4,1.0146782517433166,1e-05,10000,3
4,1,1,0.2418229751288891,0.0005,1000,4
5,2,1,0.77503422498703,0.0005,2500,5
6,5,2,1.0222497224807738,0.0001,10000,6
7,4,4,1.0262074947357178,1e-05,7500,7
8,2,0,0.38721760362386703,0.001,2500,8
9,3,2,1.0321340918540955,0.0001,5000,9
10,3,3,0.9632040977478027,0.0005,5000,10
11,3,3,0.9589686870574952,0.0005,5000,11
12,2,4,0.9931264996528626,1e-05,2500,12
13,2,4,1.023166048526764,1e-05,2500,13
14,0,3,0.01633960772305727,0.0005,500,14
15,3,4,1.000852644443512,1e-05,5000,15
16,2,2,0.9974386930465698,0.0001,2500,16
17,0,4,1.0308475732803344,1e-05,500,17
18,3,4,0.9992230534553528,1e-05,5000,18
19,5,4,1.011989998817444,1e-05,10000,19
20,1,1,0.23608583509922026,0.0005,1000,20
21,1,1,0.20002474784851074,0.0005,1000,21
22,0,1,0.016501457057893278,0.0005,500,22
23,0,0,0.01036104205995798,0.001,500,23
24,0,0,0.010427528992295265,0.001,500,24
25,0,0,0.009872522205114365,0.001,500,25
26,0,0,0.008567908499389886,0.001,500,26
27,0,0,0.00976312831044197,0.001,500,27
28,4,0,0.8892292618751526,0.001,7500,28
29,0,0,0.012503102701157332,0.001,500,29
