,max_depth,max_samples,n_estimators,loss,trial_number
0,8,0.648569854008818,180,2905.4835043154894,0
1,8,0.603052131072937,180,2906.2219116312153,1
2,12,0.8831229267410892,180,3001.967073973081,2
3,8,0.4469832125776877,190,2893.393701096018,3
4,19,0.27781882156888404,160,2884.4417779432474,4
5,15,0.5777552142342087,160,2978.2722599084195,5
6,8,0.8929792431143188,170,2941.1093673182354,6
7,9,0.6454622075352245,190,2892.7250456660495,7
8,17,0.883340403598422,220,3069.899451803504,8
9,10,0.441440891600684,170,2861.438255389181,9
10,12,0.5149483766566731,180,2920.954276075109,10
11,19,0.11961310231904419,200,2867.6801597845597,11
12,8,0.11108170757861827,250,2898.107085323112,12
13,20,0.23246521445872084,220,2870.21933332728,13
14,13,0.3889734449915836,180,2899.842694334355,14
15,19,0.7575371296220914,220,3039.1129063534227,15
16,11,0.2093089329357934,170,2852.4392583707854,16
17,19,0.6499503324786995,150,3001.9428314616953,17
18,10,0.8997129507659376,190,2949.8586550283944,18
19,19,0.5844762281127655,190,2972.8809780179977,19
20,11,0.3318740258674853,170,2862.8645159767398,20
21,14,0.2081354667497853,230,2867.794541450968,21
22,10,0.3939909924902265,170,2875.7158148000385,22
23,11,0.18369281784919675,210,2839.1584571539993,23
24,11,0.16029511313704037,210,2858.109989004213,24
25,11,0.2920597785073013,210,2858.7538770661668,25
26,18,0.1811555711861938,240,2849.5376431878667,26
27,18,0.1559723967392564,240,2856.6277358019825,27
28,18,0.34869309392529535,240,2894.440791605944,28
29,16,0.25698951765115907,210,2858.9875610294,29
30,18,0.1646910651248839,240,2859.0342679424903,30
31,14,0.10965440197681953,250,2869.8107551452163,31
32,18,0.7764346549775887,150,3050.2725533820676,32
33,15,0.5059488045167331,240,2939.579229931972,33
34,17,0.3117536715890644,210,2870.4127672779605,34
